Custom Header,Domain,Resolved IP
18515800,_apple-mobdev._tcp.local.,192.168.1.6
18515801,_apple-mobdev._tcp.local.,192.168.1.7
18515802,bing.com.,192.168.1.8
18515803,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.9
18515804,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.10
18515805,example.com.,192.168.1.6
18515906,amazon.com.,192.168.1.7
18515907,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.8
18515908,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.9
18515909,yahoo.com.,192.168.1.10
18515910,_apple-mobdev._tcp.local.,192.168.1.6
18515911,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.7
18515912,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.8
18520013,google.com.,192.168.1.9
18520014,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.10
18520015,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.6
18520016,_apple-mobdev._tcp.local.,192.168.1.7
18520017,_apple-mobdev._tcp.local.,192.168.1.8
18520018,github.com.,192.168.1.9
18520019,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.10
18520020,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.6
18520021,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.7
18520022,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.8
